"GSA_Name","Number of cities","City names","Number of DAC places","DAC names","Number of Community Water Systems (CWSs)","CWS names","Number of Public Water Systems (PWSs)","PWS names","Number of Public Supply Wells"
"East Kaweah GSA",1,"Lindsay city",8,"El Rancho CDP, Ivanhoe CDP, Lindcove CDP, Lindsay city, Plainview CDP, Strathmore CDP, Tonyville CDP, Tooleville CDP",8,"LINDSAY, CITY OF, YOKOHL MUTUAL WATER CO, STRATHMORE PUBLIC UTIL DIST, LSID-STRATHMORE SYSTEM, TOOLEVILLE MUTUAL NON PROFIT WATER ASSOC, PLAINVIEW MWC - CENTRAL WATER, PLAINVIEW MUTUAL WATER COMPANY, LSID - TONYVILLE",8,"LINDSAY, CITY OF, YOKOHL MUTUAL WATER CO, STRATHMORE PUBLIC UTIL DIST, LSID-STRATHMORE SYSTEM, TOOLEVILLE MUTUAL NON PROFIT WATER ASSOC, PLAINVIEW MWC - CENTRAL WATER, PLAINVIEW MUTUAL WATER COMPANY, LSID - TONYVILLE",16
"Eastern Tule GSA",1,"Porterville city",6,"Poplar-Cotton Center CDP, Richgrove CDP, East Porterville CDP, Porterville city, Ducor CDP, Terra Bella CDP",17,"PORTERVILLE, CITY OF, TERRA BELLA IRRIGATION DISTRICT - TBT, CENTRAL MUTUAL WATER CO, SHADY GROVE  MHP, FOOTHILL APARTMENTS, MOUNTAIN VIEW DUPLEXES, BEVERLY GRAND MUTUAL WATER, DUCOR CSD, DEL ORO GRANDVIEW GARDENS DISTRICT, A AND A  MOBILE HOME PARK, PORTERVILLE-JONES CORNER, AKIN WATER CO, CWS - MULLEN WATER COMPANY, PORTERVILLE DEVELOPMENTAL CENTER, EAGLE'S NEST RESORT, DEL ORO EAST PLANO DISTRICT, VILLAGE APARTMENTS",20,"PORTERVILLE, CITY OF, TERRA BELLA IRRIGATION DISTRICT - TBT, CENTRAL MUTUAL WATER CO, SHADY GROVE  MHP, FOOTHILL APARTMENTS, MOUNTAIN VIEW DUPLEXES, SHILOH WATER CO., BEVERLY GRAND MUTUAL WATER, GOLDEN KEY APARTMENTS, DUCOR CSD, DEL ORO GRANDVIEW GARDENS DISTRICT, A AND A  MOBILE HOME PARK, PORTERVILLE-JONES CORNER, AKIN WATER CO, ALTA VISTA M H P, CWS - MULLEN WATER COMPANY, PORTERVILLE DEVELOPMENTAL CENTER, EAGLE'S NEST RESORT, DEL ORO EAST PLANO DISTRICT, VILLAGE APARTMENTS",97
"El Rico GSA",1,"Corcoran city",1,"Corcoran city",1,"CORCORAN, CITY OF",1,"CORCORAN, CITY OF",4
"Fox Canyon Groundwater Management Agency GSA - Oxnard",2,"Oxnard city, Port Hueneme city",NA,NA,24,"UNITED WTR CONS DIST, SATICOY COUNTRY CLUB-CITY OF VENTURA, RIO MANOR MUTUAL WATER CO, OXNARD WATER DEPT, DEMPSEY ROAD MUTUAL WATER CO, NAVAL BASE VENTURA COUNTY, PORT HUENEME, PORT HUENEME WATER AGENCY, PORT HUENEME WATER DEPT, NYELAND ACRES MUTUAL WATER CO, SAVIERS ROAD MUTUAL WATER CO, PLEASANT VALLEY MUTUAL WATER CO, STRICKLAND ACRES, CYPRESS MUTUAL WATER CO INC, LLOYD-BUTLER MUTUAL WATER COMPANY, CHANNEL ISLANDS BEACH CSD, NAVAL BASE VENTURA COUNTY, POINT MUGU, GARDEN ACRES MUTUAL WATER CO, CLOVERDALE MUTUAL WATER CO., CAL AMERICAN WC - RIO PLAZA, VINEYARD AVE ESTATES MWC, VINEYARD AVENUE ACRES MWC, ESTERINA PROPERTIES, GLENVIEW MOBILE PARK, NAVALAIR MOBILE HOME PARK",25,"UNITED WTR CONS DIST, SATICOY COUNTRY CLUB-CITY OF VENTURA, RIO MANOR MUTUAL WATER CO, OXNARD WATER DEPT, DEMPSEY ROAD MUTUAL WATER CO, NAVAL BASE VENTURA COUNTY, PORT HUENEME, PORT HUENEME WATER AGENCY, PORT HUENEME WATER DEPT, NYELAND ACRES MUTUAL WATER CO, SAVIERS ROAD MUTUAL WATER CO, PLEASANT VALLEY MUTUAL WATER CO, STRICKLAND ACRES, CYPRESS MUTUAL WATER CO INC, LLOYD-BUTLER MUTUAL WATER COMPANY, CHANNEL ISLANDS BEACH CSD, NAVAL BASE VENTURA COUNTY, POINT MUGU, GARDEN ACRES MUTUAL WATER CO, VINEYARD MUTUAL WATER COMPANY/INDUSTRIAL, CLOVERDALE MUTUAL WATER CO., CAL AMERICAN WC - RIO PLAZA, VINEYARD AVE ESTATES MWC, VINEYARD AVENUE ACRES MWC, ESTERINA PROPERTIES, GLENVIEW MOBILE PARK, NAVALAIR MOBILE HOME PARK",64
"Greater Kaweah GSA",3,"Exeter city, Farmersville city, Woodlake city",9,"Ivanhoe CDP, Woodlake city, Exeter city, Goshen CDP, Patterson Tract CDP, Lemon Cove CDP, Farmersville city, Linnell Camp CDP, West Goshen CDP",12,"LINNELL FARM LABOR CENTER, WOODLAKE, CITY OF, EXETER, CITY OF, IVANHOE PUBLIC UTILITY DIST, LEMON COVE WATER CO, CWS - TULCO WATER COMPANY, FARMERSVILLE, CITY OF, SUNRISE MUTUAL WATER CO., MOUNTAIN VIEW MHP, PATTERSON TRACT CSD, TRACT 92  CSD, ALI MUTUAL WATER CO",15,"LINNELL FARM LABOR CENTER, WOODLAKE, CITY OF, PALO VERDE SCHOOL, EXETER, CITY OF, IVANHOE PUBLIC UTILITY DIST, LEMON COVE WATER CO, CWS - TULCO WATER COMPANY, FARMERSVILLE, CITY OF, SUNRISE MUTUAL WATER CO., MOUNTAIN VIEW MHP, PATTERSON TRACT CSD, TRACT 92  CSD, ALI MUTUAL WATER CO, SEQUOIA UNION ELEMENTARY SCHOOL, EAST UNION SCHOOL",79
"Indian Wells Valley Groundwater Authority GSA",1,"Ridgecrest city",2,"Pearsonville CDP, China Lake Acres CDP",11,"EAST INYOKERN MUTUAL WATER, INDIAN WELLS VALLEY W.D., DUNE 3 MUTUAL WATER COMPANY, LLC, INYOKERN CSD, LIFE WATER CO-OP, OWENS PEAK WEST, CHINA LAKE NAVAL AIR WEAPONS STATION, OWENS PEAK SOUTH, SWEET WATER CO-OP, SOUTH DESERT MUTUAL WATER COMPANY, HOMETOWN WATER ASSOCIATION",11,"EAST INYOKERN MUTUAL WATER, INDIAN WELLS VALLEY W.D., DUNE 3 MUTUAL WATER COMPANY, LLC, INYOKERN CSD, LIFE WATER CO-OP, OWENS PEAK WEST, CHINA LAKE NAVAL AIR WEAPONS STATION, OWENS PEAK SOUTH, SWEET WATER CO-OP, SOUTH DESERT MUTUAL WATER COMPANY, HOMETOWN WATER ASSOCIATION",47
"James GSA",1,"San Joaquin city",1,"San Joaquin city",1,"SAN JOAQUIN, CITY OF",1,"SAN JOAQUIN, CITY OF",2
"Kern Groundwater Authority GSA",4,"Arvin city, Delano city, Shafter city, Wasco city",10,"Lamont CDP, Lost Hills CDP, Shafter city, Wasco city, Delano city, Arvin city, Edmundson Acres CDP, Mettler CDP, Mexican Colony CDP, Smith Corner CDP",41,"OILDALE MWC, CHOCTAW VALLEY MUTUAL WATER CO., LAMONT PUBLIC UTILITY DIST, STOCKDALE RANCHOS MUTUAL WATER CO, VAUGHN WC INC, RIVERVIEW HOMEOWNERS ASSOCIATION, DEL ORO WC - COUNTRY ESTATES DIST, ALLEN ROAD MUTUAL WATER SYSTEM, TOWN & COUNTRY WATER COMPANY, WASCO, CITY OF, ST. CLAIR RANCHOS MUTUAL WATER CO., SAN JOAQUIN ESTATES MUTUAL WATER COMPANY, WILSON ROAD WATER COMMUNITY, LOST HILLS UTILITY DISTRICT, MANON MANOR MUTUAL WATER COMPANY, DELANO, CITY OF, NORTH KRANENBURG WS, BROCK MUTUAL WATER COMPANY, MAHER MUTUAL WATER COMPANY, HARVEST MOON MUTUAL WATER CO, KRANENBURG WATER SYSTEM, SHAFTER, CITY OF, ARVIN COMMUNITY SERVICES DIST, MEADOWS OF THE KERN MUTUAL WATER COMPANY, UPLANDS OF THE KERN MUTUAL WATER COMPANY, ENOS LANE PUBLIC UTILITY DISTRICT, KERN VALLEY STATE PRISON, AGBAYANI VILLAGE WATER SYSTEM, WESTERN ACRES MUTUAL WATER COMPANY, OPAL FRY AND SON, POND MUTUAL WATER COMPANY, LLANAS CAMP FOUR WATER SYSTEM, MUSTANG MUTUAL WATER SYSTEM, AGAPE MUTUAL WATER SYSTEM, ROUND MOUNTAIN WATER COMPANY, GOOSELAKE WATER COMPANY, WEGIS MUTUAL WATER COMPANY, NORD ROAD WATER ASSOCIATION, WASCO ST. PRISON RECEPTION CTR, HEATH BRIMHALL P.O.A., SCHWEIKART WATER SYSTEM",56,"OILDALE MWC, CHOCTAW VALLEY MUTUAL WATER CO., WM. BOLTHOUSE FARMS, INC., LAMONT PUBLIC UTILITY DIST, STOCKDALE RANCHOS MUTUAL WATER CO, VAUGHN WC INC, RIVERVIEW HOMEOWNERS ASSOCIATION, DEL ORO WC - COUNTRY ESTATES DIST, CSP - TULE ELK, KERN CO P&R-LAKE WOOLLOMES WATER SYSTEM, WIND WOLVES PRESERVE, ALLEN ROAD MUTUAL WATER SYSTEM, TOWN & COUNTRY WATER COMPANY, WASCO, CITY OF, ST. CLAIR RANCHOS MUTUAL WATER CO., SAN JOAQUIN ESTATES MUTUAL WATER COMPANY, WILSON ROAD WATER COMMUNITY, LOST HILLS UTILITY DISTRICT, MANON MANOR MUTUAL WATER COMPANY, DELANO, CITY OF, THE GARLIC COMPANY, NORTH KRANENBURG WS, BROCK MUTUAL WATER COMPANY, MAHER MUTUAL WATER COMPANY, HARVEST MOON MUTUAL WATER CO, KRANENBURG WATER SYSTEM, SHAFTER, CITY OF, ARVIN COMMUNITY SERVICES DIST, MEADOWS OF THE KERN MUTUAL WATER COMPANY, UPLANDS OF THE KERN MUTUAL WATER COMPANY, ENOS LANE PUBLIC UTILITY DISTRICT, WP&A-FIREBAUGH WATER SYSTEM, KERN VALLEY STATE PRISON, AGBAYANI VILLAGE WATER SYSTEM, ANDREWS AG., INC, WESTERN ACRES MUTUAL WATER COMPANY, KIMBERLINA HOUSING UNIT, OPAL FRY AND SON, POND MUTUAL WATER COMPANY, GRIMMWAY ENTERPRISES-MALAGA WATER SYSTEM, HECK CELLARS WATER SYSTEM, ORANGE GROVE RV PARK, GRIMMWAY FARMS- FROZEN FOODS, V LIONS OPS WATER SYSTEM, WHEELER FARMS HEADQUARTERS, LLANAS CAMP FOUR WATER SYSTEM, MUSTANG MUTUAL WATER SYSTEM, AGAPE MUTUAL WATER SYSTEM, ROUND MOUNTAIN WATER COMPANY, GOOSELAKE WATER COMPANY, WEGIS MUTUAL WATER COMPANY, PANCINI ST. WATER WELL ASSOCIATION, NORD ROAD WATER ASSOCIATION, WASCO ST. PRISON RECEPTION CTR, HEATH BRIMHALL P.O.A., SCHWEIKART WATER SYSTEM",140
"Kern River GSA",1,"Bakersfield city",5,"Greenfield CDP, Lamont CDP, Oildale CDP, Weedpatch CDP, Fuller Acres CDP",26,"DEL ORO WC - COUNTRY ESTATES DIST, STOCKDALE ANNEX MUTUAL WATER, CASA LOMA WATER CO, INC., VAUGHN WC INC, OLD RIVER MUTUAL WATER COMPANY, STOCKDALE RANCHOS MUTUAL WATER CO, LAMONT PUBLIC UTILITY DIST, OILDALE MWC, SOUTH KERN MUTUAL WATER COMPANY, CWS - BAKERSFIELD, CWS - NORTH GARDEN, EAST NILES CSD, RANCHOS DEL RIO, BAKERSFIELD, CITY OF, VICTORY MUTUAL WATER COMPANY, STOCKDALE MUTUAL WATER CO., ATHAL MUTUAL WATER SYSTEM, PANAMA ROAD PROPERTY OWNERS ASSOC, WINI MUTUAL WATER COMPANY, EAST WILSON ROAD WATER COMPANY, EL ADOBE POA, INC., OASIS PROPERTY OWNERS ASSOCIATION, FULLER ACRES MUTUAL WATER COMPANY, GOSFORD ROAD WATER COMPANY, DE RANCHO Y MOBILE VILLA WATER, RIVERDALE VILLAGE",30,"DEL ORO WC - COUNTRY ESTATES DIST, STOCKDALE ANNEX MUTUAL WATER, CASA LOMA WATER CO, INC., WM. BOLTHOUSE FARMS, INC., VAUGHN WC INC, OLD RIVER MUTUAL WATER COMPANY, STOCKDALE RANCHOS MUTUAL WATER CO, LAMONT PUBLIC UTILITY DIST, OILDALE MWC, SOUTH KERN MUTUAL WATER COMPANY, CWS - BAKERSFIELD, CWS - NORTH GARDEN, EAST NILES CSD, RANCHOS DEL RIO, BAKERSFIELD, CITY OF, VICTORY MUTUAL WATER COMPANY, STOCKDALE MUTUAL WATER CO., ATHAL MUTUAL WATER SYSTEM, PANAMA ROAD PROPERTY OWNERS ASSOC, WINI MUTUAL WATER COMPANY, FOUR TWENTY 420 CLUB, EAST WILSON ROAD WATER COMPANY, EL ADOBE POA, INC., OASIS PROPERTY OWNERS ASSOCIATION, FULLER ACRES MUTUAL WATER COMPANY, GOSFORD ROAD WATER COMPANY, DELTA TRADING WATER SYSTEM, LAKESIDE SCHOOL, DE RANCHO Y MOBILE VILLA WATER, RIVERDALE VILLAGE",241
"Kings River East GSA",3,"Dinuba city, Orange Cove city, Reedley city",13,"Delft Colony CDP, Yettem CDP, Reedley city, Dinuba city, Orange Cove city, Cutler CDP, East Orosi CDP, London CDP, Monson CDP, Orosi CDP, Seville CDP, Sultana CDP, Traver CDP",22,"OROSI PUBLIC UTILITY DISTRICT, CUTLER PUD, SHERWOOD FOREST MHP, TEEN CHALLENGE, GEORGE COX WATER SYSTEM, REEDLEY, CITY OF, MONSON WATER SYSTEM, FCSA #05/WILDWOOD ISLAND, EAST OROSI CSD, LONDON COMMUNITY SERV DIST, SULTANA CSD, SEVILLE WATER CO, CITY OF ORANGE COVE, FAIRWAY MUTUAL WATER CO, YETTEM WATER SYSTEM, RIVERBEND MOBILE HOME & RV PARK, PIEDRA PARK ASSOCIATION, DELFT COLONY WATER, EL MONTE VILLAGE MHP, DEL ORO TRAVER DISTRICT, DINUBA, CITY OF, GLEANINGS FOR THE HUNGRY",43,"JEHOVAH'S WITNESSES CHURCH, OROSI PUBLIC UTILITY DISTRICT, CUTLER PUD, SHERWOOD FOREST MHP, TEEN CHALLENGE, GEORGE COX WATER SYSTEM, SHERWOOD FOREST GOLF CLUB, IMMANUEL SPORTS COMPLEX, REEDLEY, CITY OF, FCPG/AVOCADO LAKE PARK, FCPG/CHOINUMNI CAMPGROUND, MONSON WATER SYSTEM, DINO MART 1, GOLDEN STATE VINTNERS CUTLER, FCSA #05/WILDWOOD ISLAND, EAST OROSI CSD, LONDON COMMUNITY SERV DIST, BOB WILEY DETENTION FACILITY, SULTANA CSD, SEVILLE WATER CO, LOPEZ LABOR CAMP, CITY OF ORANGE COVE, GILLETTE CITRUS COMPANY, FAIRWAY MUTUAL WATER CO, YETTEM WATER SYSTEM, FRANZIA WINERY-SANGER, NAVELENCIA SCHOOL, GERAWAN FRUIT PACKING, RIVERBEND MOBILE HOME & RV PARK, KINGS CANYON HIGH SCHOOL, PIEDRA PARK ASSOCIATION, DELFT COLONY WATER, SCHOOL HOUSE RESTAURANT AND TAVERN, GREAT WESTERN ELEMENTARY SCHOOL, EL MONTE VILLAGE MHP, RIO VISTA MOBILE HOME PARK, DEL ORO TRAVER DISTRICT, ALTA ELEMENTARY SCHOOL, DINUBA, CITY OF, GLEANINGS FOR THE HUNGRY, KINGS RIVER ELEMENTARY SCHOOL, BRANDT FARMS, INC, OROSI HIGH SCHOOL",113
"Merced Irrigation-Urban GSA",3,"Livingston city, Atwater city, Merced city",9,"Tuttle CDP, Le Grand CDP, Franklin CDP, Merced city, El Nido CDP, Atwater city, Bear Creek CDP, Planada CDP, Winton CDP",10,"CASTLE AIRPORT, CITY OF ATWATER, PLANADA CSD, EL NIDO MOBILE HOME PARK, CITY OF LIVINGSTON, LE GRAND COMM SERVICES DIST, BLACK RASCAL WATER COMPANY, CAL AM - MEADOWBROOK, EVERGREEN MOBILE HOME PARK, WINTON WATER & SANITARY DIST",52,"CASTLE AIRPORT, CITY OF ATWATER, DOLE ATWATER PLANT, PLANADA ELEMENTARYSCHOOL, 5033 PENTECOST, MERCED GOLF & COUNTRY CLUB, PLANADA CSD, EL NIDO MOBILE HOME PARK, EL NIDO ELEMENTARY SCHOOL, PELLIGRINI PROPERTIES (EL CAMPO MARKET), YAGI BROTHERS PRODUCE INC., CITY OF LIVINGSTON, LE GRAND COMM SERVICES DIST, RANCHO DEL REY GOLF CLUB, BLACK RASCAL WATER COMPANY, LDS CHURCH ATWATER, 9-IRON WATER SYSTEM, THE VISTA RANCH AND CELLARS, CLASSIC YAM WATER SYSTEM, RYEL FAMILY TRUST, MERCED NEW LIFE SCHOOL, MERCED FRUIT BARN, ELKS LODGE PARK, LONGVIEW MENNONITE SCHOOL, LIVINGSTON PROPERTIES, WASHINGTON SCHOOL, MCSWAIN ELEMENTARY SCHOOL, ANIMAL MEDICAL CENTER, NEIGHBORHOOD GROCERY, LDS CHURCH MERCED, CALIFORNIA SWEET POTATO GROWERS COOP, WESTSIDE GROCERY, DOREVA PRODUCE, SCHELBY SCHOOL, APOSTOLIC TABERNACLE, OXXO MINI MART, NAGAME JAPANESE RESTAURANT, YOSEMITE WHOLESALE, BUHACH PRESCHOOL (KINDERCARE), GARCIA FARMS PRODUCE, QUAIL H FARMS WATER SYSTEM, KANDOLA FARMS PRODUCE, INC., GRACE BISHOP SCHOOL, MERCED ADVENTIST CHURCH WATER SYS., CAL AM - MEADOWBROOK, A V THOMAS PRODUCE, INC., CRESSEY STORE, SENSIENT NATURAL INGREDIENTS LLC, GRACE MENNONITE SCHOOL, CRESSEY SCHOOL, EVERGREEN MOBILE HOME PARK, WINTON WATER & SANITARY DIST",117
"Mid-Kaweah GSA",2,"Visalia city, Tulare city",3,"Waukena CDP, Tulare city, Matheny CDP",5,"TULARE, CITY OF, CWS - VISALIA, SOULTS MUTUAL WATER CO, THE LAKES ASSOCIATION, BEDEL MUTUAL WATER CO",10,"TULARE, CITY OF, CWS - VISALIA, SOULTS MUTUAL WATER CO, ACCELERATED CHARTER HIGH SCHOOL, THE LAKES ASSOCIATION, WESTLAKE VILLAGE MHP, BUENA VISTA SCHOOL, BEDEL MUTUAL WATER CO, WAUKENA ELEMENTARY SCHOOL, KRAFT HEINZ FOODS COMPANY",129
"Mid-Kings River GSA",1,"Hanford city",3,"Hardwick CDP, Armona CDP, Home Garden CDP",5,"HANFORD, CITY OF, ARMONA COMMUNITY SERVICES DIST, CHAMPIONS- SAMUEL'S HOUSE, HARDWICK WATER COMPANY, HOME GARDEN CSD",5,"HANFORD, CITY OF, ARMONA COMMUNITY SERVICES DIST, CHAMPIONS- SAMUEL'S HOUSE, HARDWICK WATER COMPANY, HOME GARDEN CSD",47
