pwsid,PWS_name,activity_s,owner_type,d_prin_cnt,d_populati,d_pws_fed_,d_last_inv,d_last_upd,source_tab,county_fip,state,Area_sqmi,FID_GSA_in,Basin_Numb,Basin_Subb,Basin_Name,GSA_Name,Area_sqm_1,Area_sqm_i,PercArea
CA2701063,RIVER RD WS #25,A,P,MONTEREY,65,C,8/30/17 0:00,8/11/16 0:00,2/10/20 0:00,53,CA,0.005501723,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.005455742,0.991642509
CA2702320,HITCHCOCK RD WS #01,A,P,MONTEREY,175,C,12/12/19 0:00,5/15/18 0:00,2/10/20 0:00,53,CA,0.059017489,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.059017489,1
CA2701202,CAL AM WATER COMPANY - CHUALAR,A,P,MONTEREY,740,C,12/18/19 0:00,4/29/19 0:00,2/10/20 0:00,53,CA,0.127824322,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.127824322,1
CA2700579,ELKHORN RD WS #04,A,P,MONTEREY,60,C,1/30/20 0:00,8/11/16 0:00,2/10/20 0:00,53,CA,0.124517596,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.124517596,1
CA2701820,CORDA RD WS,A,P,MONTEREY,60,C,6/29/17 0:00,8/11/16 0:00,2/10/20 0:00,53,CA,0.000850647,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.000850647,1
CA2700624,LEAFWOOD COMMUNITY WA,A,P,MONTEREY,66,C,8/30/17 0:00,8/11/16 0:00,2/10/20 0:00,53,CA,0.035030693,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.035030693,1
CA2700674,PARADISE LAKE MUTUAL WATER CO.,A,P,MONTEREY,180,C,9/13/19 0:00,8/11/16 0:00,2/10/20 0:00,53,CA,0.111283312,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.111283312,1
CA2700547,DESMOND RD WS #03,A,P,MONTEREY,55,C,1/28/19 0:00,8/11/16 0:00,2/10/20 0:00,53,CA,0.028396643,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.028396643,1
CA2700766,STRAWBERRY RD WS #06,A,P,MONTEREY,78,C,2/1/19 0:00,12/7/16 0:00,2/10/20 0:00,53,CA,0.059979723,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.059979723,1
CA2701498,HARBOR VIEW WA,A,P,MONTEREY,75,C,6/26/17 0:00,8/11/16 0:00,2/10/20 0:00,53,CA,0.13956368,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.13956368,1
CA2701515,MOSS LANDING HARBOR WS,A,P,MONTEREY,402,C,12/7/18 0:00,8/11/16 0:00,2/10/20 0:00,53,CA,0.03081176,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.03081176,1
CA2700548,DOLAN RD MWC,A,P,MONTEREY,120,C,6/19/19 0:00,8/11/16 0:00,2/10/20 0:00,53,CA,0.112059113,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.112059113,1
CA2700842,BAUMANN RD WS #01,A,P,MONTEREY,40,C,6/28/17 0:00,8/11/16 0:00,2/10/20 0:00,53,CA,0.00664908,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.00664908,1
CA2701647,GREEN ACRES WA,A,P,MONTEREY,50,C,12/12/19 0:00,8/11/16 0:00,2/10/20 0:00,53,CA,0.047315296,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.047315296,1
CA2700541,DEL MONTE FARMS RD WS #03,A,P,MONTEREY,55,C,2/8/19 0:00,8/11/16 0:00,2/10/20 0:00,53,CA,0.021224677,95,3-004,3-004.01,SALINAS VALLEY,Salinas Valley Basin GSA - 180/400 Foot Aquifer,138.9338197,0.021224677,1
CA4010007,PASO ROBLES WATER DEPARTMENT,A,L,SAN LUIS OBISPO,31398,C,2/5/20 0:00,9/8/17 0:00,2/10/20 0:00,79,CA,16.93332831,78,3-004,3-004.06,SALINAS VALLEY,City of Paso Robles GSA,18.81800166,15.7571069,0.930538085
CA4000775,MUSTANG SPRINGS MUTUAL WATER,A,P,SAN LUIS OBISPO,30,C,9/24/19 0:00,8/11/16 0:00,2/10/20 0:00,79,CA,0.034134972,80,3-004,3-004.06,SALINAS VALLEY,County of San Luis Obispo GSA - Paso Robles Area,445.9656358,0.010427886,0.30548979
CA4010028,SLO CSA NO. 16 - SHANDON,A,L,SAN LUIS OBISPO,1295,C,7/31/19 0:00,1/9/15 0:00,2/10/20 0:00,79,CA,1.845701916,80,3-004,3-004.06,SALINAS VALLEY,County of San Luis Obispo GSA - Paso Robles Area,445.9656358,0.948326935,0.513802866
CA4000775,MUSTANG SPRINGS MUTUAL WATER,A,P,SAN LUIS OBISPO,30,C,9/24/19 0:00,8/11/16 0:00,2/10/20 0:00,79,CA,0.034134972,80,3-004,3-004.06,SALINAS VALLEY,County of San Luis Obispo GSA - Paso Robles Area,445.9656358,0.023598122,0.691318044
CA4000802,SANTA YSABEL RANCH MWC,A,P,SAN LUIS OBISPO,25,C,9/24/19 0:00,8/11/16 0:00,2/10/20 0:00,79,CA,0.944711855,80,3-004,3-004.06,SALINAS VALLEY,County of San Luis Obispo GSA - Paso Robles Area,445.9656358,0.753148044,0.797225144
CA4000554,GREEN RIVER MUTUAL WATER CO.,A,P,SAN LUIS OBISPO,350,C,9/24/19 0:00,8/11/16 0:00,2/10/20 0:00,79,CA,0.726095429,80,3-004,3-004.06,SALINAS VALLEY,County of San Luis Obispo GSA - Paso Robles Area,445.9656358,0.725751251,0.999525988
CA4000803,RANCHO SALINAS  MBWC,A,P,SAN LUIS OBISPO,50,C,9/24/19 0:00,8/11/16 0:00,2/10/20 0:00,79,CA,0.175575441,80,3-004,3-004.06,SALINAS VALLEY,County of San Luis Obispo GSA - Paso Robles Area,445.9656358,0.175575441,1
CA4000789,SPANISH LAKES MUTUAL WATER CO,A,P,SAN LUIS OBISPO,40,C,8/12/19 0:00,8/11/16 0:00,2/10/20 0:00,79,CA,0.408154346,80,3-004,3-004.06,SALINAS VALLEY,County of San Luis Obispo GSA - Paso Robles Area,445.9656358,0.408154346,1
CA4010010,SAN MIGUEL COMMUNITY SERVICES DISTRICT,A,L,SAN LUIS OBISPO,2600,C,1/28/20 0:00,11/26/19 0:00,2/10/20 0:00,79,CA,2.965716993,81,3-004,3-004.06,SALINAS VALLEY,San Miguel Community Services District GSA,2.982242189,2.946379792,0.993479755
CA4010028,SLO CSA NO. 16 - SHANDON,A,L,SAN LUIS OBISPO,1295,C,7/31/19 0:00,1/9/15 0:00,2/10/20 0:00,79,CA,1.845701916,79,3-004,3-004.06,SALINAS VALLEY,Shandon-San Juan GSA,213.6497794,0.897374982,0.486197134
CA4210009,CUYAMA COMMUNITY SERVICES DISTRICT,A,L,SANTA BARBARA,560,C,6/7/19 0:00,6/7/19 0:00,2/10/20 0:00,83,CA,0.544188505,74,3-013,3-013,CUYAMA VALLEY,Cuyama Basin GSA,377.6290163,0.544188505,1
CA5610700,"NAVAL BASE VENTURA COUNTY, POINT MUGU",A,F,VENTURA,1566,C,1/29/20 0:00,1/29/20 0:00,2/10/20 0:00,111,CA,6.866512273,32,4-004,4-004.02,SANTA CLARA RIVER VALLEY,County of Ventura GSA - Oxnard Basin Outlying Areas,4.932885117,0.750755453,0.109335777
CA5610008,PLEASANT VALLEY MUTUAL WATER CO,A,P,VENTURA,5000,C,12/30/19 0:00,1/9/15 0:00,2/10/20 0:00,111,CA,18.7640383,32,4-004,4-004.02,SANTA CLARA RIVER VALLEY,County of Ventura GSA - Oxnard Basin Outlying Areas,4.932885117,2.37313337,0.126472422
CA5610046,UNITED WTR CONS DIST,A,L,VENTURA,0,C,4/29/19 0:00,12/8/16 0:00,2/10/20 0:00,111,CA,332.0558309,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,35.4328621,0.106707544
CA5602140,SATICOY COUNTRY CLUB-CITY OF VENTURA,A,P,VENTURA,177,C,8/29/19 0:00,7/18/19 0:00,2/10/20 0:00,111,CA,0.4739815,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,0.055812208,0.11775187
CA5610035,RIO MANOR MUTUAL WATER CO,A,P,VENTURA,983,C,9/24/19 0:00,11/6/18 0:00,2/10/20 0:00,111,CA,0.110680991,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,0.014350553,0.129656892
CA5610007,OXNARD WATER DEPT,A,L,VENTURA,206499,C,6/7/19 0:00,6/7/19 0:00,2/10/20 0:00,111,CA,39.14499535,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,5.49926041,0.14048438
CA5610001,DEMPSEY ROAD MUTUAL WATER CO,A,P,VENTURA,1520,C,10/30/19 0:00,10/30/19 0:00,2/10/20 0:00,111,CA,3.334225024,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,0.498983558,0.149655034
CA5610701,"NAVAL BASE VENTURA COUNTY, PORT HUENEME",A,F,VENTURA,3221,C,1/29/20 0:00,1/29/20 0:00,2/10/20 0:00,111,CA,36.72097573,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,5.49926041,0.149758014
CA5610080,PORT HUENEME WATER AGENCY,A,L,VENTURA,0,C,5/29/18 0:00,12/8/16 0:00,2/10/20 0:00,111,CA,13.24653056,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,2.479898228,0.187211151
CA5610009,PORT HUENEME WATER DEPT,A,L,VENTURA,22327,C,6/7/19 0:00,6/7/19 0:00,2/10/20 0:00,111,CA,1.87045464,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,0.498983558,0.266771269
CA5602111,NYELAND ACRES MUTUAL WATER CO,A,P,VENTURA,915,C,1/29/20 0:00,1/29/20 0:00,2/10/20 0:00,111,CA,3.438070478,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,1.076714768,0.313174141
CA5602115,SAVIERS ROAD MUTUAL WATER CO,A,P,VENTURA,368,C,6/6/18 0:00,11/13/15 0:00,2/10/20 0:00,111,CA,0.028123227,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,0.008913747,0.316953226
CA5610080,PORT HUENEME WATER AGENCY,A,L,VENTURA,0,C,5/29/18 0:00,12/8/16 0:00,2/10/20 0:00,111,CA,13.24653056,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,5.49926041,0.415147226
CA5610008,PLEASANT VALLEY MUTUAL WATER CO,A,P,VENTURA,5000,C,12/30/19 0:00,1/9/15 0:00,2/10/20 0:00,111,CA,18.7640383,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,8.07847679,0.430529754
CA5602117,STRICKLAND ACRES,A,P,VENTURA,429,C,8/12/19 0:00,9/11/17 0:00,2/10/20 0:00,111,CA,0.097478589,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,0.044267591,0.454126298
CA5602103,CYPRESS MUTUAL WATER CO INC,A,P,VENTURA,217,C,4/4/19 0:00,12/2/16 0:00,2/10/20 0:00,111,CA,0.091174358,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,0.04221616,0.463026682
CA5602111,NYELAND ACRES MUTUAL WATER CO,A,P,VENTURA,915,C,1/29/20 0:00,1/29/20 0:00,2/10/20 0:00,111,CA,3.438070478,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,1.607120649,0.46744843
CA5602103,CYPRESS MUTUAL WATER CO INC,A,P,VENTURA,217,C,4/4/19 0:00,12/2/16 0:00,2/10/20 0:00,111,CA,0.091174358,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,0.045605579,0.500201811
CA5602117,STRICKLAND ACRES,A,P,VENTURA,429,C,8/12/19 0:00,9/11/17 0:00,2/10/20 0:00,111,CA,0.097478589,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,0.053210998,0.545873702
CA5610007,OXNARD WATER DEPT,A,L,VENTURA,206499,C,6/7/19 0:00,6/7/19 0:00,2/10/20 0:00,111,CA,39.14499535,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,21.72492148,0.554985926
CA5603302,LLOYD-BUTLER MUTUAL WATER COMPANY,A,P,VENTURA,25,C,10/11/19 0:00,1/9/15 0:00,2/10/20 0:00,111,CA,0.005580859,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,0.003665319,0.656766034
CA5602115,SAVIERS ROAD MUTUAL WATER CO,A,P,VENTURA,368,C,6/6/18 0:00,11/13/15 0:00,2/10/20 0:00,111,CA,0.028123227,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,0.019209479,0.683046774
CA5610009,PORT HUENEME WATER DEPT,A,L,VENTURA,22327,C,6/7/19 0:00,6/7/19 0:00,2/10/20 0:00,111,CA,1.87045464,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,1.2918049,0.69063685
CA5610039,CHANNEL ISLANDS BEACH CSD,A,L,VENTURA,5847,C,6/7/19 0:00,6/7/19 0:00,2/10/20 0:00,111,CA,0.790458058,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,0.552245375,0.698639692
CA5610001,DEMPSEY ROAD MUTUAL WATER CO,A,P,VENTURA,1520,C,10/30/19 0:00,10/30/19 0:00,2/10/20 0:00,111,CA,3.334225024,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,2.646935299,0.793868224
CA5610700,"NAVAL BASE VENTURA COUNTY, POINT MUGU",A,F,VENTURA,1566,C,1/29/20 0:00,1/29/20 0:00,2/10/20 0:00,111,CA,6.866512273,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,5.49926041,0.800881174
CA5610035,RIO MANOR MUTUAL WATER CO,A,P,VENTURA,983,C,9/24/19 0:00,11/6/18 0:00,2/10/20 0:00,111,CA,0.110680991,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,0.096330437,0.870343108
CA5602108,GARDEN ACRES MUTUAL WATER CO,A,P,VENTURA,816,C,12/30/19 0:00,12/30/19 0:00,2/10/20 0:00,111,CA,0.098973107,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,0.091901181,0.928546992
CA5610068,CLOVERDALE MUTUAL WATER CO.,A,P,VENTURA,455,C,6/8/18 0:00,9/10/18 0:00,2/10/20 0:00,111,CA,0.13136303,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,0.124760182,0.949735873
CA5610010,CAL AMERICAN WC - RIO PLAZA,A,P,VENTURA,1716,C,6/6/19 0:00,6/6/19 0:00,2/10/20 0:00,111,CA,0.204646125,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,0.195124595,0.953473196
CA5610056,VINEYARD AVE ESTATES MWC,A,P,VENTURA,1200,C,4/25/18 0:00,1/9/15 0:00,2/10/20 0:00,111,CA,0.201712493,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,0.19407382,0.962130888
CA5610029,VINEYARD AVENUE ACRES MWC,A,P,VENTURA,1820,C,6/4/18 0:00,1/9/15 0:00,2/10/20 0:00,111,CA,0.165680069,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,0.164667014,0.993885472
CA5602101,ESTERINA PROPERTIES,A,P,VENTURA,50,C,3/13/13 0:00,1/9/15 0:00,2/10/20 0:00,111,CA,0.004476347,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,0.004476347,1
CA5602109,GLENVIEW MOBILE PARK,A,P,VENTURA,160,C,6/4/18 0:00,6/4/18 0:00,2/10/20 0:00,111,CA,0.003024074,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,0.003024074,1
CA5602110,NAVALAIR MOBILE HOME PARK,A,P,VENTURA,160,C,6/4/18 0:00,1/9/15 0:00,2/10/20 0:00,111,CA,0.004257886,33,4-004,4-004.02,SANTA CLARA RIVER VALLEY,Fox Canyon Groundwater Management Agency GSA - Oxnard,85.23142236,0.004257886,1
CA5610021,WARRING WATER SERVICE INC,A,P,VENTURA,2100,C,3/12/18 0:00,1/9/15 0:00,2/10/20 0:00,111,CA,2.478170692,4,4-004,4-004.06,SANTA CLARA RIVER VALLEY,Fillmore and Piru Basins GSA - Piru,17.01010079,2.370902659,0.956714833
CA5601144,RANCHO SESPE WORKERS IMP ASSOC,A,P,VENTURA,600,C,10/12/18 0:00,1/9/15 0:00,2/10/20 0:00,111,CA,0.02373287,4,4-004,4-004.06,SANTA CLARA RIVER VALLEY,Fillmore and Piru Basins GSA - Piru,17.01010079,0.023261473,0.980137375
CA3910022,LITTLE POTATO SLOUGH MUTUAL,A,P,SAN JOAQUIN,350,C,1/6/20 0:00,7/10/19 0:00,2/10/20 0:00,77,CA,0.14253329,14,5-022,5-022.01,SAN JOAQUIN VALLEY,Central Delta Water Agency GSA,81.59719761,0.14253329,1
