WatersystemID,PWS,Basin-Su,Basin -_1,Latitude,Longitude,Service Co,FacilityN,WaterType,GSA_Name
CA4410018,CENTRAL WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.971273,-121.873117,803,WELL 10 - RAW,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA4410018,CENTRAL WATER DISTRICT,3-001,SANTA CRUZ MID-COUNTY,36.975758,-121.869722,803,WELL 12 - RAW,GW,Santa Cruz Mid-County Groundwater Agency GSA
CA2700547,DESMOND RD WS #03,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.802991,-121.700514,19,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2700548,DOLAN RD MWC,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.795941,-121.73707,40,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2700577,ELKHORN SCHOOL WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.797111,-121.718086,2,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2700579,ELKHORN RD WS #04,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.84,-121.720555,20,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2700624,LEAFWOOD COMMUNITY WA,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.808399,-121.704588,23,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2700674,PARADISE LAKE MUTUAL WATER CO.,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.81651,-121.705591,90,WELL 03,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2700802,WALKER VALLEY WS #3 (SS),3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.812916,-121.715138,9,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2700842,BAUMANN RD WS #01,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.786997,-121.721394,17,WELL 02,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2700992,MILLER'S LODGE WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.624218,-121.629994,51,WELL 01,GU,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2700999,OAK PARK WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.795941,-121.73707,1,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701109,ASSOCIATED TAGLINE WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.571302,-121.522232,5,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701135,MERIDIAN RD WS #11,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.789259,-121.713788,6,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701152,YODER BROTHERS WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.715644,-121.719088,1,WELL - AREA E,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701153,GROWERS TRANSPLANTING WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.735466,-121.684773,1,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701202,CAL AM WATER COMPANY - CHUALAR,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.570347,-121.515004,196,WELL 03 - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701202,CAL AM WATER COMPANY - CHUALAR,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.569589,-121.513705,196,WELL 04,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701214,FIRESTONE BUSINESS PARK WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.626723,-121.592902,1,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701214,FIRESTONE BUSINESS PARK WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.626732,-121.592985,1,WELL 02,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701232,OLD NATIVIDAD RD WS #01,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.659072,-121.622921,3,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701232,OLD NATIVIDAD RD WS #01,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.659072,-121.622921,3,WELL 04 (STANDBY),GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701298,SADDLE MOUNTAIN WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.626732,-121.592985,1,WELL 02 (SCHULTE RD WELL) INACTIVE,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701298,SADDLE MOUNTAIN WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.626732,-121.592985,1,WELL 04 (NEW WELL),GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701325,SAN CLEMENTE RANCHO WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.504166,-121.506666,1,WELL 01,GU,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701364,PEDRAZZI MWC,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.6,-121.63,96,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701414,ARCHER RD WS #2,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.791944,-121.699722,5,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701452,MONTEREY DUNES MWA,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.758201,-121.80102,137,WELL #04,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701452,MONTEREY DUNES MWA,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.769444,-121.795277,137,WELL 03 (CENTRAL WELL),GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701498,HARBOR VIEW WA,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.817272,-121.715274,25,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701515,MOSS LANDING HARBOR WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.798765,-121.745714,141,WELL 01 (PRIMARY),GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701515,MOSS LANDING HARBOR WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.798765,-121.745714,141,WELL 03,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701542,GONZALES  GAS STATION WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.523195,-121.464844,2,WELL 02,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701575,BUENA VISTA CENTER WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.590277,-121.606388,2,WELL 02 (PRIMARY),GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701630,PRUNEDALE CHEVRON WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.588851,-121.604766,1,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701647,GREEN ACRES WA,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.796278,-121.732381,20,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701659,CHAMISAL WA,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.813869,-121.702362,14,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701698,RIVER RD WS #2,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.504166,-121.506666,6,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701768,TWIN BRIDGES WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.733194,-121.778888,8,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701837,MERIDIAN RD WS #09,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.789259,-121.713788,2,WELL 02,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701897,BERRY DR WS #02,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.600001,-121.631725,19,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2701906,SAN ANTONIO MHE WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.600001,-121.631725,30,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702121,ROSEHART INDUSTRIAL PARK WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.696115,-121.70072,14,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702135,FOOTHILL WA,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.560555,-121.562777,18,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702226,CDFW ELKHORN SLOUGH ECOLOGICAL RESERVE,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.824033,-121.735774,3,NORTH WELL - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702226,CDFW ELKHORN SLOUGH ECOLOGICAL RESERVE,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.816754,-121.73007,3,SOUTH WELL 02 - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702320,HITCHCOCK RD WS #01,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.664304,-121.700806,1,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702368,PRUNETREE SHOPPING CENTER WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.560413,-121.563863,38,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702440,BARLOCKER RUSTLING OAKS RANCH WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.519045,-121.529494,3,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702444,RIVER RD WS #28,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.596702,-121.624161,1,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702452,EL CAMINO MACHINE & WELDING WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.636456,-121.601754,3,300 WELL,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702453,MARINA LANDFILL WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.596702,-121.624161,5,WELL-PRESSURE TANK,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702456,MRWPCA TREATMENT PLANT WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.636456,-121.601754,1,NEW WELL,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702466,SAN VICENTE MWC,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.636708,-121.601944,30,WELL 01 (NORTH),GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702466,SAN VICENTE MWC,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.636708,-121.601944,30,WELL 03 (NEW),GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702475,FREE WILL BAPTIST CHURCH WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.712745,-121.769112,2,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702482,COLOR SPOT NURSERY WS #02,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.745635,-121.686646,1,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702484,GROWERS SERVICE ASSN WS (ICE),3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.651126,-121.632175,1,WELL 03 - GROWERS STREET (PRIMARY),GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702487,DRISCOLL STRAWBERRY WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.745635,-121.686646,7,WELL 01 (NEW),GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702584,HITCHCOCK RD WS #02,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.664304,-121.700806,4,WELL 02 (PRIMARY),GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702624,UNI-KOOL WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.682985,-121.669153,6,WELL 01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702624,UNI-KOOL WS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.682985,-121.669153,6,WELL 02,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702704,HARRIS RD WS #10,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.624218,-121.629994,1,WELL 01 (21777 HARRIS),GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2702704,HARRIS RD WS #10,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.624218,-121.629994,1,WELL 02 (20911 HARRIS),GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710003,MONTE DEL LAGO MHC,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.771925,-121.739249,379,WELL 01 - STANDBY,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710003,MONTE DEL LAGO MHC,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.771998,-121.739058,379,WELL 03 - RAW - STANDBY,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710005,CASTROVILLE COMMUNITY SERVICES DISTRICT,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.771223,-121.754348,2051,WELL 02 - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710005,CASTROVILLE COMMUNITY SERVICES DISTRICT,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.755434,-121.74379,2051,WELL 03 - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710005,CASTROVILLE COMMUNITY SERVICES DISTRICT,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.756792,-121.736584,2051,WELL 04 - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710005,CASTROVILLE COMMUNITY SERVICES DISTRICT,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.756792,-121.736584,2051,WELL 05 - PENDING,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710007,"GONZALES, CITY OF",3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.499032,-121.435876,1930,WELL 04 SOUTH ALTA STREET - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710007,"GONZALES, CITY OF",3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.505606,-121.446378,1930,WELL 06 - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710010,CWSC SALINAS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.661127,-121.660679,23312,WELL 012-01 - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710010,CWSC SALINAS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.650449,-121.630696,23312,WELL 013-02R - RAW - PENDING,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710010,CWSC SALINAS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.650764,-121.620075,23312,WELL 017-01 - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710010,CWSC SALINAS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.664555,-121.670204,23312,WELL 019-01 - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710010,CWSC SALINAS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.650449,-121.630696,23312,WELL 021-01 - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710010,CWSC SALINAS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.650449,-121.630696,23312,WELL 022-02 - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710010,CWSC SALINAS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.702584,-121.663499,23312,WELL 023-01 - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710010,CWSC SALINAS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.670208,-121.67952,23312,WELL 026-01 - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710010,CWSC SALINAS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.69746,-121.66701,23312,WELL 029-01 - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710010,CWSC SALINAS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.665445,-121.680636,23312,WELL 030-01 - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710010,CWSC SALINAS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.688262,-121.665903,23312,WELL 038-01 - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710010,CWSC SALINAS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.655098,-121.648831,23312,WELL 056-01 - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710010,CWSC SALINAS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.650449,-121.630696,23312,WELL 064-01 - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710010,CWSC SALINAS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.650449,-121.630696,23312,WELL 065-01 - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710010,CWSC SALINAS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.650449,-121.630696,23312,WELL 067-01 - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710010,CWSC SALINAS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.650449,-121.630696,23312,WELL STATION 47-01,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710010,CWSC SALINAS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.650449,-121.630696,23312,WELL STATION 69-01 (RAW),GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
CA2710012,CWSC SALINAS HILLS,3-004.01,SALINAS VALLEY - 180/400 FOOT AQUIFER,36.604949,-121.639359,1652,WELL 32-01 - RAW,GW,Salinas Valley Basin GSA - 180/400 Foot Aquifer
